#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
137-10	80675-80680	Szene	_	_	
137-11	80681-80682	,	_	_	
137-12	80683-80686	die	_	_	
137-13	80687-80691	sich	_	_	
137-14	80692-80696	nach	_	_	
137-15	80697-80704	Kräften	_	_	
137-16	80705-80712	bemühte	_	_	
137-17	80713-80714	,	_	_	
137-18	80715-80719	ihre	_	_	
137-19	80720-80729	Erbschaft	_	_	
137-20	80730-80733	aus	_	_	
137-21	80734-80737	den	_	_	
137-22	80738-80747	siebziger	_	_	
137-23	80748-80754	Jahren	_	_	
137-24	80755-80763	zwanglos	_	_	
137-25	80764-80768	über	*->69-1	non-literal-mwe[69]	
137-26	80769-80773	Bord	*->69-2	*[69]	
137-27	80774-80779	gehen	*->69-3	*[69]	
137-28	80780-80782	zu	_	_	
137-29	80783-80789	lassen	_	_	
137-30	80790-80791	.	_	_	

#Text=Betriebsräte der Genossenschaftsinstitute verweisen darauf , daß bei derartigen Zusammenschlüssen erfahrungsgemäß " mindestens zehn Prozent der Stellen " über Bord gingen .
139-1	81338-81350	Betriebsräte	_	_	
139-2	81351-81354	der	_	_	
139-3	81355-81379	Genossenschaftsinstitute	_	_	
139-4	81380-81389	verweisen	_	_	
139-5	81390-81396	darauf	_	_	
139-6	81397-81398	,	_	_	
139-7	81399-81402	daß	_	_	
139-8	81403-81406	bei	_	_	
139-9	81407-81417	derartigen	_	_	
139-10	81418-81435	Zusammenschlüssen	_	_	
139-11	81436-81451	erfahrungsgemäß	_	_	
139-12	81452-81453	"	_	_	
139-13	81454-81464	mindestens	_	_	
139-14	81465-81469	zehn	_	_	
139-15	81470-81477	Prozent	_	_	
139-16	81478-81481	der	_	_	
139-17	81482-81489	Stellen	_	_	
139-18	81490-81491	"	_	_	
139-19	81492-81496	über	*->70-1	non-literal-mwe[70]	
139-20	81497-81501	Bord	*->70-2	*[70]	
139-21	81502-81508	gingen	*->70-3	*[70]	
139-22	81509-81510	.	_	_	

#Text=Dabei ging nach Angaben der Wasserschutzpolizei Bremerhaven der 39jährige aus bislang unbekannter Ursache über Bord .
141-1	81879-81884	Dabei	_	_	
141-2	81885-81889	ging	*->71-1	non-literal[71]	
141-3	81890-81894	nach	_	_	
141-4	81895-81902	Angaben	_	_	
141-5	81903-81906	der	_	_	
141-6	81907-81926	Wasserschutzpolizei	_	_	
141-7	81927-81938	Bremerhaven	_	_	
141-8	81939-81942	der	_	_	
141-9	81943-81952	39jährige	_	_	
141-10	81953-81956	aus	_	_	
141-11	81957-81964	bislang	_	_	
141-12	81965-81976	unbekannter	_	_	
141-13	81977-81984	Ursache	_	_	
141-14	81985-81989	über	*->71-2	*[71]	
141-15	81990-81994	Bord	*->71-3	*[71]	
141-16	81995-81996	.	_	_	

#Text=Besonders stolz sind die WNBA-Managerinnen darauf , wieder Emotionen in den US-Profi-Basketball zurückgebracht zu haben , die in der NBA über Bord gegangen sind .
143-1	82483-82492	Besonders	_	_	
143-2	82493-82498	stolz	_	_	
143-3	82499-82503	sind	_	_	
143-4	82504-82507	die	_	_	
143-5	82508-82525	WNBA-Managerinnen	_	_	
143-6	82526-82532	darauf	_	_	
143-7	82533-82534	,	_	_	
143-8	82535-82541	wieder	_	_	
143-9	82542-82551	Emotionen	_	_	
143-10	82552-82554	in	_	_	
143-11	82555-82558	den	_	_	
143-12	82559-82578	US-Profi-Basketball	_	_	
143-13	82579-82593	zurückgebracht	_	_	
143-14	82594-82596	zu	_	_	
143-15	82597-82602	haben	_	_	
143-16	82603-82604	,	_	_	
143-17	82605-82608	die	_	_	
143-18	82609-82611	in	_	_	
143-19	82612-82615	der	_	_	
143-20	82616-82619	NBA	_	_	
143-21	82620-82624	über	*->72-1	non-literal-mwe[72]	
143-22	82625-82629	Bord	*->72-2	*[72]	
143-23	82630-82638	gegangen	*->72-3	*[72]	
143-24	82639-82643	sind	_	_	
143-25	82644-82645	.	_	_	

#Text=Ich will nicht ausschließen , daß hier und da mal ein Farbeimer über Bord gegangen ist .
145-1	83142-83145	Ich	_	_	
145-2	83146-83150	will	_	_	
145-3	83151-83156	nicht	_	_	
145-4	83157-83169	ausschließen	_	_	
145-5	83170-83171	,	_	_	
145-6	83172-83175	daß	_	_	
145-7	83176-83180	hier	_	_	
145-8	83181-83184	und	_	_	
145-9	83185-83187	da	_	_	
145-10	83188-83191	mal	_	_	
145-11	83192-83195	ein	_	_	
145-12	83196-83205	Farbeimer	_	_	
145-13	83206-83210	über	*->73-1	non-literal[73]	
145-14	83211-83215	Bord	*->73-2	*[73]	
145-15	83216-83224	gegangen	*->73-3	*[73]	
145-16	83225-83228	ist	_	_	
145-17	83229-83230	.	_	_	

#Text=Ob die Fischer hier etwas von über Bord gegangenen Leuten wissen ?
147-1	83569-83571	Ob	_	_	
147-2	83572-83575	die	_	_	
147-3	83576-83583	Fischer	_	_	
147-4	83584-83588	hier	_	_	
147-5	83589-83594	etwas	_	_	
147-6	83595-83598	von	_	_	
147-7	83599-83603	über	*->74-1	non-literal[74]	
147-8	83604-83608	Bord	*->74-2	*[74]	
147-9	83609-83619	gegangenen	_	_	
147-10	83620-83626	Leuten	*->74-3	*[74]	
147-11	83627-83633	wissen	_	_	
147-12	83634-83635	?	_	_	

#Text=" Wir wissen , daß Ihnen Personen über Bord gegangen sind " , schreit Berghini , " und wenn Sie nicht sofort weitermachen mit der Suche nach ihnen , verhafte ich Sie , notfalls auch hier außerhalb der Zehnmeilenzone .
149-1	84372-84373	"	_	_	
149-2	84374-84377	Wir	_	_	
149-3	84378-84384	wissen	_	_	
149-4	84385-84386	,	_	_	
149-5	84387-84390	daß	_	_	
149-6	84391-84396	Ihnen	_	_	
149-7	84397-84405	Personen	_	_	
149-8	84406-84410	über	*->75-1	non-literal[75]	
149-9	84411-84415	Bord	*->75-2	*[75]	
149-10	84416-84424	gegangen	*->75-3	*[75]	
149-11	84425-84429	sind	_	_	
149-12	84430-84431	"	_	_	
149-13	84432-84433	,	_	_	
149-14	84434-84441	schreit	_	_	
149-15	84442-84450	Berghini	_	_	
149-16	84451-84452	,	_	_	
149-17	84453-84454	"	_	_	
149-18	84455-84458	und	_	_	
149-19	84459-84463	wenn	_	_	
149-20	84464-84467	Sie	_	_	
149-21	84468-84473	nicht	_	_	
149-22	84474-84480	sofort	_	_	
149-23	84481-84493	weitermachen	_	_	
149-24	84494-84497	mit	_	_	
149-25	84498-84501	der	_	_	
149-26	84502-84507	Suche	_	_	
149-27	84508-84512	nach	_	_	
149-28	84513-84518	ihnen	_	_	
149-29	84519-84520	,	_	_	
149-30	84521-84529	verhafte	_	_	
149-31	84530-84533	ich	_	_	
149-32	84534-84537	Sie	_	_	
149-33	84538-84539	,	_	_	
149-34	84540-84548	notfalls	_	_	
149-35	84549-84553	auch	_	_	
149-36	84554-84558	hier	_	_	
149-37	84559-84568	außerhalb	_	_	
149-38	84569-84572	der	_	_	
149-39	84573-84587	Zehnmeilenzone	_	_	
149-40	84588-84589	.	_	_	

#Text=Wer unter mannschaftlichem Druck über Bord geht oder zur Strafe festgezurrt auf dem Mastbaum kauert , hatte die Hackordnungen der Männergemeinschaft diffamiert , die Schatzkarte heimlich an sich genommen oder die dünnhäutige Adelsdame mit ausgelassener Kneipenderbheit beleidigt .
151-1	85718-85721	Wer	_	_	
151-2	85722-85727	unter	_	_	
151-3	85728-85744	mannschaftlichem	_	_	
151-4	85745-85750	Druck	_	_	
151-5	85751-85755	über	*->76-1	non-literal[76]	
151-6	85756-85760	Bord	*->76-2	*[76]	
151-7	85761-85765	geht	*->76-3	*[76]	
151-8	85766-85770	oder	_	_	
151-9	85771-85774	zur	_	_	
151-10	85775-85781	Strafe	_	_	
151-11	85782-85793	festgezurrt	_	_	
151-12	85794-85797	auf	_	_	
151-13	85798-85801	dem	_	_	
151-14	85802-85810	Mastbaum	_	_	
151-15	85811-85817	kauert	_	_	
151-16	85818-85819	,	_	_	
151-17	85820-85825	hatte	_	_	
151-18	85826-85829	die	_	_	
151-19	85830-85843	Hackordnungen	_	_	
151-20	85844-85847	der	_	_	
151-21	85848-85866	Männergemeinschaft	_	_	
151-22	85867-85877	diffamiert	_	_	
151-23	85878-85879	,	_	_	
151-24	85880-85883	die	_	_	
151-25	85884-85895	Schatzkarte	_	_	
151-26	85896-85904	heimlich	_	_	
151-27	85905-85907	an	_	_	
151-28	85908-85912	sich	_	_	
151-29	85913-85921	genommen	_	_	
151-30	85922-85926	oder	_	_	
151-31	85927-85930	die	_	_	
151-32	85931-85942	dünnhäutige	_	_	
151-33	85943-85952	Adelsdame	_	_	
151-34	85953-85956	mit	_	_	
151-35	85957-85970	ausgelassener	_	_	
151-36	85971-85986	Kneipenderbheit	_	_	
151-37	85987-85996	beleidigt	_	_	
151-38	85997-85998	.	_	_	

#Text=Kapitän Johann Behrens vom Bestattungsschiff " Pax Mare " braucht drei Stunden für die Tour , inklusive Ehrenrunde um die Stelle , an der die Urne über Bord geht .
153-1	86479-86486	Kapitän	_	_	
153-2	86487-86493	Johann	_	_	
153-3	86494-86501	Behrens	_	_	
153-4	86502-86505	vom	_	_	
153-5	86506-86523	Bestattungsschiff	_	_	
153-6	86524-86525	"	_	_	
153-7	86526-86529	Pax	_	_	
153-8	86530-86534	Mare	_	_	
153-9	86535-86536	"	_	_	
153-10	86537-86544	braucht	_	_	
153-11	86545-86549	drei	_	_	
153-12	86550-86557	Stunden	_	_	
153-13	86558-86561	für	_	_	
153-14	86562-86565	die	_	_	
153-15	86566-86570	Tour	_	_	
153-16	86571-86572	,	_	_	
153-17	86573-86582	inklusive	_	_	
153-18	86583-86593	Ehrenrunde	_	_	
153-19	86594-86596	um	_	_	
153-20	86597-86600	die	_	_	
153-21	86601-86607	Stelle	_	_	
153-22	86608-86609	,	_	_	
153-23	86610-86612	an	_	_	
153-24	86613-86616	der	_	_	
153-25	86617-86620	die	_	_	
153-26	86621-86625	Urne	_	_	
153-27	86626-86630	über	*->77-1	non-literal[77]	
153-28	86631-86635	Bord	*->77-2	*[77]	
153-29	86636-86640	geht	*->77-3	*[77]	
153-30	86641-86642	.	_	_	

#Text=Der größte Teil des Fangs wird jedoch nicht vermarktet , sondern geht als Beifang tot oder verletzt wieder über Bord .
155-1	87390-87393	Der	_	_	
155-2	87394-87400	größte	_	_	
155-3	87401-87405	Teil	_	_	
155-4	87406-87409	des	_	_	
155-5	87410-87415	Fangs	_	_	
155-6	87416-87420	wird	_	_	
155-7	87421-87427	jedoch	_	_	
155-8	87428-87433	nicht	_	_	
155-9	87434-87444	vermarktet	_	_	
155-10	87445-87446	,	_	_	
155-11	87447-87454	sondern	_	_	
155-12	87455-87459	geht	*->78-1	non-literal[78]	
155-13	87460-87463	als	_	_	
155-14	87464-87471	Beifang	_	_	
155-15	87472-87475	tot	_	_	
155-16	87476-87480	oder	_	_	
155-17	87481-87489	verletzt	_	_	
155-18	87490-87496	wieder	_	_	
155-19	87497-87501	über	*->78-2	*[78]	
155-20	87502-87506	Bord	*->78-3	*[78]	
155-21	87507-87508	.	_	_	

#Text=Für den Bundessprecher der Grünen , Peter Pilz , ist die Ankündigung einer Teilnahme Österreichs an der Nato-Partnerschaft das " Eingeständnis , daß mit dem EU-Beitritt auch die Neutralität über Bord geht " .
157-1	87899-87902	Für	_	_	
157-2	87903-87906	den	_	_	
157-3	87907-87921	Bundessprecher	_	_	
157-4	87922-87925	der	_	_	
157-5	87926-87932	Grünen	_	_	
157-6	87933-87934	,	_	_	
157-7	87935-87940	Peter	_	_	
157-8	87941-87945	Pilz	_	_	
157-9	87946-87947	,	_	_	
157-10	87948-87951	ist	_	_	
157-11	87952-87955	die	_	_	
157-12	87956-87967	Ankündigung	_	_	
157-13	87968-87973	einer	_	_	
157-14	87974-87983	Teilnahme	_	_	
157-15	87984-87995	Österreichs	_	_	
157-16	87996-87998	an	_	_	
157-17	87999-88002	der	_	_	
157-18	88003-88021	Nato-Partnerschaft	_	_	
157-19	88022-88025	das	_	_	
157-20	88026-88027	"	_	_	
157-21	88028-88041	Eingeständnis	_	_	
157-22	88042-88043	,	_	_	
157-23	88044-88047	daß	_	_	
157-24	88048-88051	mit	_	_	
157-25	88052-88055	dem	_	_	
157-26	88056-88067	EU-Beitritt	_	_	
157-27	88068-88072	auch	_	_	
157-28	88073-88076	die	_	_	
157-29	88077-88088	Neutralität	_	_	
157-30	88089-88093	über	*->79-1	non-literal-mwe[79]	
157-31	88094-88098	Bord	*->79-2	*[79]	
157-32	88099-88103	geht	*->79-3	*[79]	
157-33	88104-88105	"	_	_	
157-34	88106-88107	.	_	_	

#Text=Die Gift-Beutel waren von dem französischen Frachter " Sherbro " in der Nacht zum 10 . Dezember 1993 bei stürmischer See über Bord gegangen .
159-1	88571-88574	Die	_	_	
159-2	88575-88586	Gift-Beutel	_	_	
159-3	88587-88592	waren	_	_	
159-4	88593-88596	von	_	_	
159-5	88597-88600	dem	_	_	
159-6	88601-88614	französischen	_	_	
159-7	88615-88623	Frachter	_	_	
159-8	88624-88625	"	_	_	
159-9	88626-88633	Sherbro	_	_	
159-10	88634-88635	"	_	_	
159-11	88636-88638	in	_	_	
159-12	88639-88642	der	_	_	
159-13	88643-88648	Nacht	_	_	
159-14	88649-88652	zum	_	_	
159-15	88653-88655	10	_	_	
159-16	88656-88657	.	_	_	
159-17	88658-88666	Dezember	_	_	
159-18	88667-88671	1993	_	_	
159-19	88672-88675	bei	_	_	
159-20	88676-88687	stürmischer	_	_	
159-21	88688-88691	See	_	_	
159-22	88692-88696	über	*->80-1	non-literal[80]	
159-23	88697-88701	Bord	*->80-2	*[80]	
159-24	88702-88710	gegangen	*->80-3	*[80]	
159-25	88711-88712	.	_	_	

#Text=Hamburg / Juist ( taz / dpa / AP ) - Verwirrung um die auch der deutschen Nordseeküste drohende Beutelpest aus dem Hause Ciba-Geigy : Greenpeace hatte zunächst erklärt , daß es sich bei vier auf der Insel Juist gestrandeten Behältnissen um Tüten mit dem Pestizid " Apron Plus 50 DS " handele , die aus der über Bord gegangenen hochgiftigen Ladung des Frachters " Sherbro " stammten .
161-1	89157-89164	Hamburg	_	_	
161-2	89165-89166	/	_	_	
161-3	89167-89172	Juist	_	_	
161-4	89173-89174	(	_	_	
161-5	89175-89178	taz	_	_	
161-6	89179-89180	/	_	_	
161-7	89181-89184	dpa	_	_	
161-8	89185-89186	/	_	_	
161-9	89187-89189	AP	_	_	
161-10	89190-89191	)	_	_	
161-11	89192-89193	-	_	_	
161-12	89194-89204	Verwirrung	_	_	
161-13	89205-89207	um	_	_	
161-14	89208-89211	die	_	_	
161-15	89212-89216	auch	_	_	
161-16	89217-89220	der	_	_	
161-17	89221-89230	deutschen	_	_	
161-18	89231-89243	Nordseeküste	_	_	
161-19	89244-89252	drohende	_	_	
161-20	89253-89263	Beutelpest	_	_	
161-21	89264-89267	aus	_	_	
161-22	89268-89271	dem	_	_	
161-23	89272-89277	Hause	_	_	
161-24	89278-89288	Ciba-Geigy	_	_	
161-25	89289-89290	:	_	_	
161-26	89291-89301	Greenpeace	_	_	
161-27	89302-89307	hatte	_	_	
161-28	89308-89316	zunächst	_	_	
161-29	89317-89324	erklärt	_	_	
161-30	89325-89326	,	_	_	
161-31	89327-89330	daß	_	_	
161-32	89331-89333	es	_	_	
161-33	89334-89338	sich	_	_	
161-34	89339-89342	bei	_	_	
161-35	89343-89347	vier	_	_	
161-36	89348-89351	auf	_	_	
161-37	89352-89355	der	_	_	
161-38	89356-89361	Insel	_	_	
161-39	89362-89367	Juist	_	_	
161-40	89368-89380	gestrandeten	_	_	
161-41	89381-89393	Behältnissen	_	_	
161-42	89394-89396	um	_	_	
161-43	89397-89402	Tüten	_	_	
161-44	89403-89406	mit	_	_	
161-45	89407-89410	dem	_	_	
161-46	89411-89419	Pestizid	_	_	
161-47	89420-89421	"	_	_	
161-48	89422-89427	Apron	_	_	
161-49	89428-89432	Plus	_	_	
161-50	89433-89435	50	_	_	
161-51	89436-89438	DS	_	_	
161-52	89439-89440	"	_	_	
161-53	89441-89448	handele	_	_	
161-54	89449-89450	,	_	_	
161-55	89451-89454	die	_	_	
161-56	89455-89458	aus	_	_	
161-57	89459-89462	der	_	_	
161-58	89463-89467	über	*->81-1	non-literal[81]	
161-59	89468-89472	Bord	*->81-2	*[81]	
161-60	89473-89483	gegangenen	*->81-3	*[81]	
161-61	89484-89496	hochgiftigen	_	_	
161-62	89497-89503	Ladung	_	_	
161-63	89504-89507	des	_	_	
161-64	89508-89517	Frachters	_	_	
161-65	89518-89519	"	_	_	
161-66	89520-89527	Sherbro	_	_	
161-67	89528-89529	"	_	_	
161-68	89530-89538	stammten	_	_	
161-69	89539-89540	.	_	_	

#Text=Nach Berechnungen von Greenpeace hat der über Bord gegangene Container 7,2 Tonnen Ladung gehabt .
163-1	90239-90243	Nach	_	_	
163-2	90244-90256	Berechnungen	_	_	
163-3	90257-90260	von	_	_	
163-4	90261-90271	Greenpeace	_	_	
163-5	90272-90275	hat	_	_	
163-6	90276-90279	der	_	_	
163-7	90280-90284	über	*->82-1	non-literal[82]	
163-8	90285-90289	Bord	*->82-2	*[82]	
163-9	90290-90299	gegangene	*->82-3	*[82]	
163-10	90300-90309	Container	_	_	
163-11	90310-90313	7,2	_	_	
163-12	90314-90320	Tonnen	_	_	
163-13	90321-90327	Ladung	_	_	
163-14	90328-90334	gehabt	_	_	
163-15	90335-90336	.	_	_	

#Text=" Über Deck könne man gefährliche Ladung in kritischen Situationen einfach über Bord gehen lassen .
165-1	90910-90911	"	_	_	
165-2	90912-90916	Über	_	_	
165-3	90917-90921	Deck	_	_	
165-4	90922-90927	könne	_	_	
165-5	90928-90931	man	_	_	
165-6	90932-90943	gefährliche	_	_	
165-7	90944-90950	Ladung	_	_	
165-8	90951-90953	in	_	_	
165-9	90954-90964	kritischen	_	_	
165-10	90965-90976	Situationen	_	_	
165-11	90977-90984	einfach	_	_	
165-12	90985-90989	über	*->83-1	non-literal[83]	
165-13	90990-90994	Bord	*->83-2	*[83]	
165-14	90995-91000	gehen	*->83-3	*[83]	
165-15	91001-91007	lassen	_	_	
165-16	91008-91009	.	_	_	

#Text=Doch das gesellschaftlich legitimierte Gewinnstreben verschärft das Risiko : Das Gift wird über Deck verstaut , lieber läßt der Reeder es über Bord gehen , als sein Schiff bei einem Unfall zu verlieren .
167-1	91533-91537	Doch	_	_	
167-2	91538-91541	das	_	_	
167-3	91542-91558	gesellschaftlich	_	_	
167-4	91559-91571	legitimierte	_	_	
167-5	91572-91585	Gewinnstreben	_	_	
167-6	91586-91596	verschärft	_	_	
167-7	91597-91600	das	_	_	
167-8	91601-91607	Risiko	_	_	
167-9	91608-91609	:	_	_	
167-10	91610-91613	Das	_	_	
167-11	91614-91618	Gift	_	_	
167-12	91619-91623	wird	_	_	
167-13	91624-91628	über	_	_	
167-14	91629-91633	Deck	_	_	
167-15	91634-91642	verstaut	_	_	
167-16	91643-91644	,	_	_	
167-17	91645-91651	lieber	_	_	
167-18	91652-91656	läßt	_	_	
167-19	91657-91660	der	_	_	
167-20	91661-91667	Reeder	_	_	
167-21	91668-91670	es	_	_	
167-22	91671-91675	über	*->84-1	non-literal[84]	
167-23	91676-91680	Bord	*->84-2	*[84]	
167-24	91681-91686	gehen	*->84-3	*[84]	
167-25	91687-91688	,	_	_	
167-26	91689-91692	als	_	_	
167-27	91693-91697	sein	_	_	
167-28	91698-91704	Schiff	_	_	
167-29	91705-91708	bei	_	_	
167-30	91709-91714	einem	_	_	
167-31	91715-91721	Unfall	_	_	
167-32	91722-91724	zu	_	_	
167-33	91725-91734	verlieren	_	_	
167-34	91735-91736	.	_	_	

#Text=In den 70er Jahren , als die KPF noch die zweitgrößte kommunistische Partei des Westens war , ging auf diese Art die " Diktatur des Proletariats " über Bord .
169-1	92458-92460	In	_	_	
169-2	92461-92464	den	_	_	
169-3	92465-92469	70er	_	_	
169-4	92470-92476	Jahren	_	_	
169-5	92477-92478	,	_	_	
169-6	92479-92482	als	_	_	
169-7	92483-92486	die	_	_	
169-8	92487-92490	KPF	_	_	
169-9	92491-92495	noch	_	_	
169-10	92496-92499	die	_	_	
169-11	92500-92511	zweitgrößte	_	_	
169-12	92512-92526	kommunistische	_	_	
169-13	92527-92533	Partei	_	_	
169-14	92534-92537	des	_	_	
169-15	92538-92545	Westens	_	_	
169-16	92546-92549	war	_	_	
169-17	92550-92551	,	_	_	
169-18	92552-92556	ging	*->85-1	non-literal-mwe[85]	
169-19	92557-92560	auf	_	_	
169-20	92561-92566	diese	_	_	
169-21	92567-92570	Art	_	_	
169-22	92571-92574	die	_	_	
169-23	92575-92576	"	_	_	
169-24	92577-92585	Diktatur	_	_	
169-25	92586-92589	des	_	_	
169-26	92590-92602	Proletariats	_	_	
169-27	92603-92604	"	_	_	
169-28	92605-92609	über	*->85-2	*[85]	
169-29	92610-92614	Bord	*->85-3	*[85]	
169-30	92615-92616	.	_	_	

#Text=Vor der französischen Kanalküste gingen sie dem Frachter " Sherbro " der großen französischen Privatreederei Delmas Vieljeux über Bord .
171-1	93173-93176	Vor	_	_	
171-2	93177-93180	der	_	_	
171-3	93181-93194	französischen	_	_	
171-4	93195-93205	Kanalküste	_	_	
171-5	93206-93212	gingen	*->86-1	non-literal[86]	
171-6	93213-93216	sie	_	_	
171-7	93217-93220	dem	_	_	
171-8	93221-93229	Frachter	_	_	
171-9	93230-93231	"	_	_	
171-10	93232-93239	Sherbro	_	_	
171-11	93240-93241	"	_	_	
171-12	93242-93245	der	_	_	
171-13	93246-93252	großen	_	_	
171-14	93253-93266	französischen	_	_	
171-15	93267-93281	Privatreederei	_	_	
171-16	93282-93288	Delmas	_	_	
171-17	93289-93297	Vieljeux	_	_	
171-18	93298-93302	über	*->86-2	*[86]	
171-19	93303-93307	Bord	*->86-3	*[86]	
171-20	93308-93309	.	_	_	

#Text=Normalerweise gehen auch bei schwerer See nur einzelne Container über Bord .
173-1	93720-93733	Normalerweise	_	_	
173-2	93734-93739	gehen	*->87-1	non-literal[87]	
173-3	93740-93744	auch	_	_	
173-4	93745-93748	bei	_	_	
173-5	93749-93757	schwerer	_	_	
173-6	93758-93761	See	_	_	
173-7	93762-93765	nur	_	_	
173-8	93766-93774	einzelne	_	_	
173-9	93775-93784	Container	_	_	
173-10	93785-93789	über	*->87-2	*[87]	
173-11	93790-93794	Bord	*->87-3	*[87]	
173-12	93795-93796	.	_	_	

#Text=Auch die Ziele von Bürgernähe und Transparenz seien " ziemlich über Bord gegangen " zugunsten von Strukturen , die sehr den Altparteien glichen .
175-1	94735-94739	Auch	_	_	
175-2	94740-94743	die	_	_	
175-3	94744-94749	Ziele	_	_	
175-4	94750-94753	von	_	_	
175-5	94754-94764	Bürgernähe	_	_	
175-6	94765-94768	und	_	_	
175-7	94769-94780	Transparenz	_	_	
175-8	94781-94786	seien	_	_	
175-9	94787-94788	"	_	_	
175-10	94789-94797	ziemlich	_	_	
175-11	94798-94802	über	*->88-1	non-literal[88]	
175-12	94803-94807	Bord	*->88-2	*[88]	
175-13	94808-94816	gegangen	*->88-3	*[88]	
175-14	94817-94818	"	_	_	
175-15	94819-94828	zugunsten	_	_	
175-16	94829-94832	von	_	_	
175-17	94833-94843	Strukturen	_	_	
175-18	94844-94845	,	_	_	
175-19	94846-94849	die	_	_	
175-20	94850-94854	sehr	_	_	
175-21	94855-94858	den	_	_	
175-22	94859-94870	Altparteien	_	_	
175-23	94871-94878	glichen	_	_	
175-24	94879-94880	.	_	_	

#Text=Die Sherbro hatte bei einem Sturm Anfang Dezember mindestens 88 Container verloren oder über Bord gehen lassen .
177-1	95866-95869	Die	_	_	
177-2	95870-95877	Sherbro	_	_	
177-3	95878-95883	hatte	_	_	
177-4	95884-95887	bei	_	_	
177-5	95888-95893	einem	_	_	
177-6	95894-95899	Sturm	_	_	
177-7	95900-95906	Anfang	_	_	
177-8	95907-95915	Dezember	_	_	
177-9	95916-95926	mindestens	_	_	
177-10	95927-95929	88	_	_	
177-11	95930-95939	Container	_	_	
177-12	95940-95948	verloren	_	_	
177-13	95949-95953	oder	_	_	
177-14	95954-95958	über	*->89-1	non-literal[89]	
177-15	95959-95963	Bord	*->89-2	*[89]	
177-16	95964-95969	gehen	*->89-3	*[89]	
177-17	95970-95976	lassen	_	_	
177-18	95977-95978	.	_	_	

#Text=Sprengzünder , die mit über Bord gegangen waren und zu Tausenden an Frankreichs Stränden auftauchten , haben die niederländischen Behörden bislang nicht gefunden .
179-1	96328-96340	Sprengzünder	_	_	
179-2	96341-96342	,	_	_	
179-3	96343-96346	die	_	_	
179-4	96347-96350	mit	_	_	
179-5	96351-96355	über	*->90-1	non-literal[90]	
179-6	96356-96360	Bord	*->90-2	*[90]	
179-7	96361-96369	gegangen	*->90-3	*[90]	
179-8	96370-96375	waren	_	_	
179-9	96376-96379	und	_	_	
179-10	96380-96382	zu	_	_	
179-11	96383-96392	Tausenden	_	_	
179-12	96393-96395	an	_	_	
179-13	96396-96407	Frankreichs	_	_	
179-14	96408-96416	Stränden	_	_	
179-15	96417-96428	auftauchten	_	_	
179-16	96429-96430	,	_	_	
179-17	96431-96436	haben	_	_	
179-18	96437-96440	die	_	_	
179-19	96441-96457	niederländischen	_	_	
179-20	96458-96466	Behörden	_	_	
179-21	96467-96474	bislang	_	_	
179-22	96475-96480	nicht	_	_	
179-23	96481-96489	gefunden	_	_	
179-24	96490-96491	.	_	_	

#Text=Rainer Alpers von der Seeberufsgenossenschaft in Hamburg zumindest glaubt nicht , daß die Giftbeutel schon vor der französischen Küste über Bord gegangen sind .
181-1	96841-96847	Rainer	_	_	
181-2	96848-96854	Alpers	_	_	
181-3	96855-96858	von	_	_	
181-4	96859-96862	der	_	_	
181-5	96863-96886	Seeberufsgenossenschaft	_	_	
181-6	96887-96889	in	_	_	
181-7	96890-96897	Hamburg	_	_	
181-8	96898-96907	zumindest	_	_	
181-9	96908-96914	glaubt	_	_	
181-10	96915-96920	nicht	_	_	
181-11	96921-96922	,	_	_	
181-12	96923-96926	daß	_	_	
181-13	96927-96930	die	_	_	
181-14	96931-96941	Giftbeutel	_	_	
181-15	96942-96947	schon	_	_	
181-16	96948-96951	vor	_	_	
181-17	96952-96955	der	_	_	
181-18	96956-96969	französischen	_	_	
181-19	96970-96975	Küste	_	_	
181-20	96976-96980	über	*->91-1	non-literal[91]	
181-21	96981-96985	Bord	*->91-2	*[91]	
181-22	96986-96994	gegangen	*->91-3	*[91]	
181-23	96995-96999	sind	_	_	
181-24	97000-97001	.	_	_	

#Text=Daß ein Container mit Gefahrgut über Bord geht , das ist nach den Transportvorschriften sogar gewollt , sagt Peter Ulrich vom Arbeitskreis .
183-1	97395-97398	Daß	_	_	
183-2	97399-97402	ein	_	_	
183-3	97403-97412	Container	_	_	
183-4	97413-97416	mit	_	_	
183-5	97417-97426	Gefahrgut	_	_	
183-6	97427-97431	über	*->92-1	non-literal[92]	
183-7	97432-97436	Bord	*->92-2	*[92]	
183-8	97437-97441	geht	*->92-3	*[92]	
183-9	97442-97443	,	_	_	
183-10	97444-97447	das	_	_	
183-11	97448-97451	ist	_	_	
183-12	97452-97456	nach	_	_	
183-13	97457-97460	den	_	_	
183-14	97461-97482	Transportvorschriften	_	_	
183-15	97483-97488	sogar	_	_	
183-16	97489-97496	gewollt	_	_	
183-17	97497-97498	,	_	_	
183-18	97499-97503	sagt	_	_	
183-19	97504-97509	Peter	_	_	
183-20	97510-97516	Ulrich	_	_	
